@relation 'twitter-adr-weka.filters.unsupervised.attribute.Remove-R2-11,79-82,84-88,90-91-weka.filters.unsupervised.attribute.Remove-R22-31-weka.filters.unsupervised.attribute.Remove-R2-35-weka.filters.unsupervised.attribute.Remove-R3-6,8-weka.filters.unsupervised.attribute.Remove-R3-9-weka.filters.unsupervised.attribute.Remove-R4-11-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R4-6'

@attribute neck numeric
@attribute restless numeric
@attribute skin numeric
@attribute zombie numeric
@attribute class {N,Y}

@data
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,1,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,1,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,1,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,N
0,0,0,0,Y
0,0,0,0,Y
